Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Samsung,HE103UJ 1TB,301,50.6,652,https://hdd.userbenchmark.com/SpeedTest/5305/SAMSUNG-HE103UJ
HDD,WD6401AALS,WD,Black 640GB (2008),302,50.6,13353,https://hdd.userbenchmark.com/SpeedTest/136/WDC-WD6401AALS-00L3B2
HDD,,Hitachi,HTS7275 750GB,303,50.5,20,https://hdd.userbenchmark.com/SpeedTest/6142/Hitachi-HTS7275
HDD,WD6400AAKS,WD,Blue 640GB (2008),304,50.4,61441,https://hdd.userbenchmark.com/SpeedTest/2174/WDC-WD6400AAKS-22A7B2
HDD,,Samsung,HD102UJ 1TB,305,50.4,385,https://hdd.userbenchmark.com/SpeedTest/7223/SAMSUNG-HD102UJ
HDD,WD7501AALS,WD,Black 750GB (2008),306,50.3,7986,https://hdd.userbenchmark.com/SpeedTest/1987/WDC-WD7501AALS-00J7B0
HDD,ST3750525AS,Seagate,Barracuda 7200.12 750GB,307,50.2,3637,https://hdd.userbenchmark.com/SpeedTest/562/ST3750525AS
HDD,,Seagate,ST3250312AS 250GB,308,49.9,12070,https://hdd.userbenchmark.com/SpeedTest/2897/ST3250312AS
HDD,,Maxtor,STM31000333AS 1TB,309,49.9,221,https://hdd.userbenchmark.com/SpeedTest/10102/MAXTOR-STM31000333AS
HDD,,Seagate,FA GoFlex Desk 2TB,310,49.8,68,https://hdd.userbenchmark.com/SpeedTest/9703/Seagate-FA-GoFlex-Desk
HDD,,WD,WD2002FYPS-01U1B0 2TB,311,49.6,4042,https://hdd.userbenchmark.com/SpeedTest/3788/WDC-WD2002FYPS-01U1B0
HDD,,WD,WD3202ABYS-02B7A0 320GB,312,49.5,824,https://hdd.userbenchmark.com/SpeedTest/8044/WDC-WD3202ABYS-02B7A0
HDD,WD20EARX,WD,Green 2TB (2011),313,49.5,126192,https://hdd.userbenchmark.com/WD-Green-2TB-2011/Rating/1850
HDD,ST750LX003,Seagate,Momentus XT 7200 RPM 2.5" 750GB,314,49.4,5654,https://hdd.userbenchmark.com/SpeedTest/840/ST750LX003-1AC154
HDD,,Hitachi,HDT721010SLA360 1TB,315,49.4,21466,https://hdd.userbenchmark.com/SpeedTest/1320/Hitachi-HDT721010SLA360
HDD,,Hitachi,HDS5C3015ALA632 1.5TB,316,49.3,349,https://hdd.userbenchmark.com/SpeedTest/5797/Hitachi-HDS5C3015ALA632
HDD,,Seagate,ST310005 28AS 1TB,317,49.2,5918,https://hdd.userbenchmark.com/SpeedTest/1219/ST310005-28AS
HDD,,Seagate,ST32000542AS 2TB,318,49.2,14368,https://hdd.userbenchmark.com/SpeedTest/696/ST32000542AS
HDD,ST2000LX001,Seagate,FireCuda 2.5" 2TB,319,49.1,35626,https://hdd.userbenchmark.com/SpeedTest/192181/ST2000LX001-1RG174
HDD,,Seagate,ST3750528AS 750GB,320,49.1,16731,https://hdd.userbenchmark.com/SpeedTest/1714/ST3750528AS
HDD,,Hitachi,HDS721050CLA 500GB,321,49.1,1824,https://hdd.userbenchmark.com/SpeedTest/1561/Hitachi-HDS721050CLA
HDD,,Hitachi,HDS5C1010CLA382 1TB,322,49,1864,https://hdd.userbenchmark.com/SpeedTest/1569/Hitachi-HDS5C1010CLA382
HDD,,Hitachi,HCS5C1010CLA382 1TB,323,49,1590,https://hdd.userbenchmark.com/SpeedTest/3428/Hitachi-HCS5C1010CLA382
HDD,ST3250318AS,Seagate,Barracuda 7200.12 250GB,324,49,32652,https://hdd.userbenchmark.com/SpeedTest/169/ST3250318AS
HDD,,Seagate,ST31000520AS 1TB,325,49,6194,https://hdd.userbenchmark.com/SpeedTest/1280/ST31000520AS
HDD,,Seagate,ST31000340NS 1TB,326,48.9,4918,https://hdd.userbenchmark.com/SpeedTest/1232/ST31000340NS
HDD,,Maxtor,STM3320613AS 320GB,327,48.8,2118,https://hdd.userbenchmark.com/SpeedTest/4882/MAXTOR-STM3320613AS
HDD,,WD,WD10JUCT-63J6SY0 1TB,328,48.8,1740,https://hdd.userbenchmark.com/SpeedTest/9459/WDC-WD10JUCT-63J6SY0
HDD,,Samsung,HD642JJ 640GB,329,48.8,8935,https://hdd.userbenchmark.com/SpeedTest/1574/SAMSUNG-HD642JJ
HDD,MQ02ABD100H,Toshiba,Notebook SSHD 2.5" 1TB,330,48.8,18840,https://hdd.userbenchmark.com/SpeedTest/24488/TOSHIBA-MQ02ABD100H
HDD,,Hitachi,HTS72757 750GB,331,48.6,165,https://hdd.userbenchmark.com/SpeedTest/4050/Hitachi-HTS72757
HDD,,Hitachi,HDT72101 1TB,332,48.5,179,https://hdd.userbenchmark.com/SpeedTest/4490/Hitachi-HDT72101
HDD,WD10JFCX,WD,Red 2.5" 1TB (2013),333,48.5,1357,https://hdd.userbenchmark.com/SpeedTest/2756/WDC-WD10JFCX-68N6GN0
HDD,,Hitachi,HDT721075SLA360 750GB,334,48.4,287,https://hdd.userbenchmark.com/SpeedTest/3764/Hitachi-HDT721075SLA360
HDD,,Hitachi,HDE721010SLA330 1TB,335,48.4,7611,https://hdd.userbenchmark.com/SpeedTest/2356/Hitachi-HDE721010SLA330
